CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-16,201,Very Unhealthy,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-17,156,Unhealthy,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-18,174,Unhealthy,Ozone,13-089-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-19,177,Unhealthy,Ozone,13-097-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-20,182,Unhealthy,Ozone,13-223-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-21,169,Unhealthy,Ozone,13-089-0002,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-22,97,Moderate,Ozone,13-097-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-23,115,Unhealthy for Sensitive Groups,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-24,150,Unhealthy for Sensitive Groups,Ozone,13-121-0053,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-25,169,Unhealthy,Ozone,13-097-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-26,154,Unhealthy,Ozone,13-223-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-27,192,Unhealthy,Ozone,13-247-0001,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-28,244,Very Unhealthy,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-29,203,Very Unhealthy,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-30,105,Unhealthy for Sensitive Groups,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-08-31,54,Moderate,Ozone,13-223-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-09-01,90,Moderate,Ozone,13-223-0002,7
