,CBSA,Year,Defining Parameter,AQI
334,"Nashville-Davidson--Murfreesboro--Franklin, TN",1990,SO2,112.62447257383967
335,"Nashville-Davidson--Murfreesboro--Franklin, TN",1991,CO,43.714285714285715
336,"Nashville-Davidson--Murfreesboro--Franklin, TN",1991,NO2,40.333333333333336
337,"Nashville-Davidson--Murfreesboro--Franklin, TN",1991,Ozone,91.32038834951456
338,"Nashville-Davidson--Murfreesboro--Franklin, TN",1991,PM10,47.35
339,"Nashville-Davidson--Murfreesboro--Franklin, TN",1991,SO2,106.58108108108108
340,"Nashville-Davidson--Murfreesboro--Franklin, TN",1992,CO,42.51724137931034
341,"Nashville-Davidson--Murfreesboro--Franklin, TN",1992,NO2,44.464285714285715
342,"Nashville-Davidson--Murfreesboro--Franklin, TN",1992,Ozone,75.1826923076923
343,"Nashville-Davidson--Murfreesboro--Franklin, TN",1992,PM10,40.90909090909091
344,"Nashville-Davidson--Murfreesboro--Franklin, TN",1992,SO2,99.4020618556701
345,"Nashville-Davidson--Murfreesboro--Franklin, TN",1993,CO,44.325581395348834
346,"Nashville-Davidson--Murfreesboro--Franklin, TN",1993,NO2,36.666666666666664
347,"Nashville-Davidson--Murfreesboro--Franklin, TN",1993,Ozone,95.59821428571429
348,"Nashville-Davidson--Murfreesboro--Franklin, TN",1993,PM10,47.63636363636363
349,"Nashville-Davidson--Murfreesboro--Franklin, TN",1993,SO2,105.17368421052632
350,"Nashville-Davidson--Murfreesboro--Franklin, TN",1994,CO,49.75
351,"Nashville-Davidson--Murfreesboro--Franklin, TN",1994,NO2,46.5
352,"Nashville-Davidson--Murfreesboro--Franklin, TN",1994,Ozone,98.47222222222223
353,"Nashville-Davidson--Murfreesboro--Franklin, TN",1994,PM10,39.2
354,"Nashville-Davidson--Murfreesboro--Franklin, TN",1994,SO2,96.81770833333333
355,"Nashville-Davidson--Murfreesboro--Franklin, TN",1995,CO,42.1764705882353
356,"Nashville-Davidson--Murfreesboro--Franklin, TN",1995,NO2,44.8125
357,"Nashville-Davidson--Murfreesboro--Franklin, TN",1995,Ozone,88.52475247524752
358,"Nashville-Davidson--Murfreesboro--Franklin, TN",1995,PM10,42.166666666666664
359,"Nashville-Davidson--Murfreesboro--Franklin, TN",1995,SO2,82.2741935483871
360,"Nashville-Davidson--Murfreesboro--Franklin, TN",1996,CO,32.208333333333336
361,"Nashville-Davidson--Murfreesboro--Franklin, TN",1996,NO2,50.0
362,"Nashville-Davidson--Murfreesboro--Franklin, TN",1996,Ozone,80.45989304812834
363,"Nashville-Davidson--Murfreesboro--Franklin, TN",1996,PM10,37.57142857142857
364,"Nashville-Davidson--Murfreesboro--Franklin, TN",1996,SO2,96.1094890510949
365,"Nashville-Davidson--Murfreesboro--Franklin, TN",1997,CO,37.04347826086956
366,"Nashville-Davidson--Murfreesboro--Franklin, TN",1997,NO2,38.54545454545455
367,"Nashville-Davidson--Murfreesboro--Franklin, TN",1997,Ozone,79.03482587064677
368,"Nashville-Davidson--Murfreesboro--Franklin, TN",1997,PM10,38.92307692307692
369,"Nashville-Davidson--Murfreesboro--Franklin, TN",1997,SO2,100.32075471698113
370,"Nashville-Davidson--Murfreesboro--Franklin, TN",1998,CO,38.666666666666664
371,"Nashville-Davidson--Murfreesboro--Franklin, TN",1998,NO2,40.38095238095238
372,"Nashville-Davidson--Murfreesboro--Franklin, TN",1998,Ozone,92.67525773195877
373,"Nashville-Davidson--Murfreesboro--Franklin, TN",1998,PM10,40.72727272727273
